materials     property        D               Bv          Br         BV       Gv        Gr         GV      el         pr        Y              Fr           Rx      Rn      RW       Ax       An        AW           IEx        IEn       IEW                               
NaCl          0.28            2.105306084     23          23         23       15        14         14      0.17       0.24      35.93997418    0.3529       1.9000 	0.7900 	1.3450   35.4530 	22.9898 	29.2214      1251.2000 	495.8000 	873.5000  
ZnTe          1               5.418813343     46          46         46       24        21         22      0.59       0.29      58.00628931    1.0237       1.4200 	1.2300 	1.3250   127.6000 	65.4090 	96.5045      906.4000 	869.3000 	887.8500  
CdS           1.17            4.575652564     53          53         53       18        17         18      0.16       0.35      47.29116911    0.8723       1.6100 	0.8800 	1.2450   112.4110 	32.0650 	72.2380      999.6000 	867.8000 	933.7000  
ZnSe          1.3             5.064263884     58          58         58       29        26         28      0.73       0.3       71.21571429    1.3940       1.4200 	1.0300 	1.2250   78.9600 	65.4090 	72.1845      941.0000 	906.4000 	923.7000  
CdSe          1.39            5.300489339     45          45         45       17        14         15      1.03       0.35      41.67487195    0.7379       1.6100 	1.0300 	1.3200   112.4110 	78.9600 	95.6855      941.0000 	867.8000 	904.4000  
InP           4.2             4.58162144      59          59         59       33        29         31      0.63       0.28      79.09764216    1.5309       1.5600 	0.9800 	1.2700   114.8180 	30.9738 	72.8959      1011.8000 	558.3000 	785.0500  
MgF2          4.41            3.034476004     95          94         95       55        48         52      0.79       0.27      130.6816845    2.6843       1.4500 	0.4200 	0.7633   24.3050 	18.9984 	20.7673      1681.0000 	737.7000 	1366.5667 
Y2O3          6.4             4.892007864     138         138        138      62        61         62      0.1        0.31      160.6360283    4.5404       2.1200 	0.4800 	1.1360   88.9059 	15.9994 	45.1620      1313.9000 	600.0000 	1028.3400 
ZnO           7.2             5.437864583     130         130        130      42        41         41      0.13       0.36      112.524652     2.8748       1.4200 	0.4800 	0.9500   65.4090 	15.9994 	40.7042      1313.9000 	906.4000 	1110.1500 
GaAs          7.5             5.053200624     61          61         61       42        39         41      0.41       0.23      99.46297297    1.4826       1.3600 	1.1400 	1.2500   74.9216 	69.7230 	72.3223      947.0000 	578.8000 	762.9000  
Ge            7.64            5.041970035     59          59         59       47        44         45      0.32       0.19      108.5673178    0.9098       1.2500 	1.2500 	1.2500   72.6400 	72.6400 	72.6400      762.0000 	762.0000 	762.0000  
Si            8.3             2.281194284     83          83         83       63        59         61      0.3        0.2       146.9653472    1.7062       1.1100 	1.1100 	1.1100   28.0855 	28.0855 	28.0855      786.5000 	786.5000 	786.5000  
GaP           9.5             4.006314015     76          76         76       54        50         52      0.4        0.22      127.0001531    1.8654       1.3600 	0.9800 	1.1700   69.7230 	30.9738 	50.3484      1011.8000 	578.8000 	795.3000  
SiO2          10.81           2.116918417     29          26         27       37        32         34      0.86       0.06      72.97587977    10.2584      1.1100 	0.4800 	0.6900   28.0855 	15.9994 	20.0281      1313.9000 	786.5000 	1138.1000 
TiO2          10.99           3.615940061     181         180        181      63        59         61      0.35       0.35      164.4587142    4.9814       1.7600 	0.4800 	0.9067   47.8670 	15.9994 	26.6219      1313.9000 	658.8000 	1095.5333 
ThO2          11              9.884017018     188         188        188      91        85         88      0.37       0.3       228.3371105    7.3996       1.8000 	0.4800 	0.9200   232.0381 	15.9994 	88.0123      1313.9000 	587.0000 	1071.6000 
ZrN           12              7.098978293     247         247        247      148       137        142     0.39       0.26      358.47613      11.6466      2.0600 	0.5600 	1.3100   91.2240 	14.0067 	52.6154      1402.3000 	640.1000 	1021.2000 
ZrO2          13              5.563611317     188         178        183      88        81         85      0.45       0.3       219.6816101    6.7681       2.0600 	0.4800 	1.0067   91.2240 	15.9994 	41.0743      1313.9000 	640.1000 	1089.3000 
NbN           13.5            7.984187333     314         312        313      214       207        211     0.16       0.23      515.8438411    15.4283      1.9800 	0.5600 	1.2700   92.9064 	14.0067 	53.4565      1402.3000 	652.1000 	1027.2000 
Cr5B3         14.91           6.587365994     291         291        291      196       195        196     0.03       0.23      479.1895174    13.3877      1.6600 	0.8700 	1.3638   51.9961 	10.8110 	36.5517      800.6000 	652.9000 	708.2875  
AlN           15              3.200889713     195         194        194      122       121        122     0.03       0.24      301.6818122    7.5444       1.1800 	0.5600 	0.8700   26.9815 	14.0067 	20.4941      1402.3000 	577.5000 	989.9000  
BeO           15              2.967498763     208         208        208      157       155        156     0.08       0.2       374.3975385    5.8025       1.1200 	0.4800 	0.8000   15.9994 	9.0122    	12.5058      1313.9000 	899.5000 	1106.7000 
B2Ru          15.1            7.467945844     288         283        286      176       159        168     0.57       0.25      420.2025412    13.1114      1.7800 	0.8700 	1.1733   101.0700 	10.8110 	40.8973      800.6000 	710.2000 	770.4667  
HfN           17              13.68399725     266         266        266      164       149        156     0.5        0.25      392.3971114    12.3357      2.0800 	0.5600 	1.3200   178.4900 	14.0067 	96.2484      1402.3000 	658.5000 	1030.4000 
Al2O3         17.65           3.873498339     232         232        232      149       145        147     0.16       0.24      364.0899408    9.6816       1.1800 	0.4800 	0.7600   26.9815 	15.9994 	20.3923      1313.9000 	577.5000 	1019.3400 
MgAl2O4       17.8            3.464623154     180         180        180      106       85         96      1.24       0.27      243.0702167    6.6366       1.4500 	0.4800 	0.8186   26.9815 	15.9994 	20.3237      1313.9000 	577.5000 	1021.1857 
TaB2          18              12.11755213     303         301        302      202       197        200     0.14       0.23      490.4877273    13.8738      2.0000 	0.8700 	1.2467   180.9479 	10.8110 	67.5233      800.6000 	761.0000 	787.4000  
Cr3C2         18.9            6.795180146     320         319        320      175       162        169     0.38       0.28      429.8468071    16.1469      1.6600 	0.6700 	1.2640   51.9961 	12.0107 	36.0019      1086.5000 	652.9000 	826.3400  
NbB2          19.6            6.793798027     288         286        287      200       190        195     0.28       0.22      476.9391752    11.8714      1.9800 	0.8700 	1.2400   92.9064 	10.8110 	38.1761      800.6000 	652.1000 	751.1000  
TiN           20.5            5.340297483     259         259        259      184       177        180     0.19       0.22      439.3956129    10.5511      1.7600 	0.5600 	1.1600   47.8670 	14.0067 	30.9369      1402.3000 	658.8000 	1030.5500 
NbB           21.53           7.429359441     264         264        264      199       196        197     0.08       0.2       474.2351446    8.9977       1.9800 	0.8700 	1.4250   92.9064 	10.8110 	51.8587      800.6000 	652.1000 	726.3500  
Si3N4         21.57           3.134176877     235         234        234      125       116        120     0.38       0.28      308.5872316    10.1343      1.1100 	0.5600 	0.7957   28.0855 	14.0067 	20.0405      1402.3000 	786.5000 	1138.3857 
V3B2          22.36           5.846064712     256         256        256      201       198        199     0.06       0.19      475.0839759    7.1909       1.7100 	0.8700 	1.3740   50.9415 	10.8110 	34.8893      800.6000 	650.9000 	710.7800  
Nb3B2         22.46           7.752632878     240         239        240      169       167        168     0.04       0.22      408.4863725    9.9272       1.9800 	0.8700 	1.5360   92.9064 	10.8110 	60.0682      800.6000 	652.1000 	711.5000  
Nb3B4         22.46           7.190484651     274         274        274      200       196        198     0.11       0.21      478.6864771    10.6227      1.9800 	0.8700 	1.3457   92.9064 	10.8110 	45.9947      800.6000 	652.1000 	736.9571  
BMo           23              8.476293815     311         311        311      201       199        200     0.06       0.24      494.0847005    15.7689      1.9000 	0.8700 	1.3850   95.9400 	10.8110 	53.3755      800.6000 	684.3000 	742.4500  
ZrB2          23              6.03310523      238         237        238      229       223        226     0.15       0.14      514.7192142    3.6381       2.0600 	0.8700 	1.2667   91.2240 	10.8110 	37.6153      800.6000 	640.1000 	747.1000  
V3B4          23.05           5.426880995     279         277        278      234       230        232     0.1        0.17      544.5229885    5.1658       1.7100 	0.8700 	1.2300   50.9415 	10.8110 	28.0098      800.6000 	650.9000 	736.4429  
B2W           23.73           12.27319841     323         320        321      224       224        224     0.02       0.22      545.344419     14.4981      1.9300 	0.8700 	1.2233   183.8400 	10.8110 	68.4873      800.6000 	770.0000 	790.4000  
BW2           24              16.75971941     330         330        330      153       152        152     0.04       0.3       396.4327675    16.4605      1.9300 	0.8700 	1.5767   183.8400 	10.8110 	126.1637     800.6000 	770.0000 	780.2000  
B2Mo          24.2            7.035996279     296         294        295      225       224        225     0.03       0.2       537.2216043    10.4479      1.9000 	0.8700 	1.2133   95.9400 	10.8110 	39.1873      800.6000 	684.3000 	761.8333  
BW            25.3            15.33150269     342         342        342      199       192        196     0.19       0.26      492.6099648    18.2832      1.9300 	0.8700 	1.4000   183.8400 	10.8110 	97.3255      800.6000 	770.0000 	785.3000  
HfC           25.5            12.57416771     236         236        236      180       179        180     0.02       0.2       429.5859411    7.8638       2.0800 	0.6700 	1.3750   178.4900 	12.0107 	95.2504      1086.5000 	658.5000 	872.5000  
