eg,chemsys,nelements,formula
0.0,Ac,1,Ac
0.0,Ac,1,Ac
0.0,Ac,1,Ac
0.0,Ac,1,Ac
0.0,Ac-Ag-Ir,3,Ac2AgIr
0.0,Ac-Ag-Pb,3,Ac2AgPb
0.2005999999999999,Ac-Br-O,3,Ac2Br2O
0.0,Ac-Cd-Ga,3,Ac2CdGa
0.0,Ac-Cd-Ge,3,Ac2CdGe
0.0,Ac-Cd-Hg,3,Ac2CdHg
0.0,Ac-Cd-Sn,3,Ac2CdSn
0.2363,Ac-Cl-O,3,Ac2Cl2O
0.0,Ac-Cu-Ge,3,Ac2CuGe
0.0,Ac-Cu-Ir,3,Ac2CuIr
0.0,Ac-Cu-Ru,3,Ac2CuRu
0.0,Ac-Cu-Si,3,Ac2CuSi
0.0,Ac-Cu-Sn,3,Ac2CuSn
0.0,Ac-Cu-Ga,3,Ac2GaCu
0.0,Ac-Ga-Si,3,Ac2GaSi
0.0,Ac-Ge-Pd,3,Ac2GePd
0.0,Ac-Ge-Hg,3,Ac2HgGe
0.0,Ac-Ga-In,3,Ac2InGa
0.0,Ac-Au-Ir,3,Ac2IrAu
0.0,Ac-Ir-Pd,3,Ac2IrPd
0.0,Ac-Ir-Rh,3,Ac2IrRh
0.0,Ac-Mg,2,Ac2Mg
0.0,Ac-Mg,2,Ac2Mg
0.0,Ac-Mg,2,Ac2Mg
0.2016,Ac-Ga-Mg,3,Ac2MgGa
0.0,Ac-Mg-Pb,3,Ac2MgPb
0.0,Ac-Mg-Sn,3,Ac2MgSn
0.2200000000000006,Ac-Mg-Tl,3,Ac2MgTl
0.0,Ac-Ge-Ni,3,Ac2NiGe
0.0,Ac-Ir-Ni,3,Ac2NiIr
3.5226,Ac-O,2,Ac2O3
3.0275000000000003,Ac-S,2,Ac2S3
0.0,Ac-Au-Si,3,Ac2SiAu
0.0,Ac-Hg-Si,3,Ac2SiHg
0.0,Ac-Pd-Si,3,Ac2SiPd
0.0,Ac-Hg-Sn,3,Ac2SnHg
0.0,Ac-Cd-Tl,3,Ac2TlCd
0.0,Ac-In-Tl,3,Ac2TlIn
0.0,Ac-Sn-Tl,3,Ac2TlSn
0.0,Ac-Au-Zn,3,Ac2ZnAu
0.0,Ac-Ga-Zn,3,Ac2ZnGa
0.0,Ac-Ge-Zn,3,Ac2ZnGe
0.0,Ac-Hg-Zn,3,Ac2ZnHg
0.0,Ac-In-Zn,3,Ac2ZnIn
0.0,Ac-Ir-Zn,3,Ac2ZnIr
0.0,Ac-Si-Zn,3,Ac2ZnSi
0.0,Ac-Sn-Zn,3,Ac2ZnSn
0.0,Ac-Ag,2,Ac3Ag
0.0,Ac-Ag,2,Ac3Ag
0.0,Ac-Au,2,Ac3Au
0.0,Ac-Br,2,Ac3Br
0.0,Ac-Cd,2,Ac3Cd
0.0,Ac-Cd,2,Ac3Cd
0.0,Ac-Ce,2,Ac3Ce
0.0,Ac-Ce,2,Ac3Ce
0.0,Ac-Ce,2,Ac3Ce
0.0,Ac-Cl,2,Ac3Cl
0.0,Ac-Cl,2,Ac3Cl
0.0,Ac-Cr,2,Ac3Cr
0.0,Ac-Dy,2,Ac3Dy
0.0,Ac-Dy,2,Ac3Dy
0.0,Ac-Er,2,Ac3Er
0.0,Ac-Er,2,Ac3Er
0.0,Ac-Eu,2,Ac3Eu
0.0,Ac-Hg,2,Ac3Hg
0.0,Ac-Ho,2,Ac3Ho
0.0,Ac-I,2,Ac3I
0.0,Ac-I,2,Ac3I
0.0,Ac-In,2,Ac3In
0.0,Ac-La,2,Ac3La
0.0,Ac-La,2,Ac3La
0.0,Ac-Lu,2,Ac3Lu
0.0,Ac-Lu,2,Ac3Lu
0.0,Ac-Mo,2,Ac3Mo
0.0,Ac-Nb,2,Ac3Nb
0.0,Ac-Nd,2,Ac3Nd
0.0,Ac-Np,2,Ac3Np
0.0,Ac-Pa,2,Ac3Pa
0.0,Ac-Pm,2,Ac3Pm
0.0,Ac-Pr,2,Ac3Pr
0.0,Ac-Sc,2,Ac3Sc
0.0,Ac-Si,2,Ac3Si
0.0,Ac-Sm,2,Ac3Sm
0.0,Ac-Sn,2,Ac3Sn
0.0,Ac-Tb,2,Ac3Tb
0.0,Ac-Th,2,Ac3Th
0.0,Ac-Ti,2,Ac3Ti
0.0,Ac-Tl,2,Ac3Tl
0.0,Ac-Tm,2,Ac3Tm
0.0,Ac-Tm,2,Ac3Tm
0.0,Ac-V,2,Ac3V
0.0,Ac-Y,2,Ac3Y
0.0,Ac-Y,2,Ac3Y
0.0,Ac-Zn,2,Ac3Zn
0.0,Ac-Zn,2,Ac3Zn
0.0,Ac-Zr,2,Ac3Zr
0.0,Ac-Zr,2,Ac3Zr
0.0,Ac-Ag,2,AcAg
0.0,Ac-Ag-Pb,3,AcAg2Pb
0.0,Ac-Ag-Sn,3,AcAg2Sn
0.0,Ac-Ag,2,AcAg3
0.0,Ac-Ag-Au,3,AcAgAu2
0.0,Ac-Ag-Hg,3,AcAgHg2
0.0793999999999996,Ac-Ag-Te,3,AcAgTe2
0.0,Ac-Al,2,AcAl3
4.1024,Ac-Al-O,3,AcAlO3
0.0,Ac-Au,2,AcAu3
0.8071000000000002,Ac-B-O,3,AcBO3
0.0,Ac-Au-Bi,3,AcBiAu2
4.103299999999999,Ac-Br,2,AcBr3
4.241,Ac-Br-O,3,AcBrO
0.0,Ac-Cd,2,AcCd3
0.0,Ac-Ag-Cd,3,AcCdAg2
0.0,Ac-Au-Cd,3,AcCdAu2
0.0,Ac-Cd-Hg,3,AcCdHg2
0.0,Ac-Cd-Rh,3,AcCdRh2
0.0,Ac-Ce,2,AcCe3
0.0,Ac-Ce,2,AcCe3
0.0,Ac-Ce,2,AcCe3
0.0,Ac-Ce-Mg,3,AcCeMg2
5.0865,Ac-Cl,2,AcCl3
4.4451,Ac-Cl-O,3,AcClO
2.0031000000000008,Ac-Cr-O,3,AcCrO3
0.0,Ac-Cu,2,AcCu3
0.0,Ac-Cu-F-O,4,AcCuO2F
0.0,Ac-Cu-O,3,AcCuO3
0.0,Ac-Dy,2,AcDy3
0.0,Ac-Dy,2,AcDy3
0.0,Ac-Er,2,AcEr3
0.0,Ac-Eu,2,AcEu3
0.0,Ac-Au-Eu,3,AcEuAu2
0.0,Ac-Eu-Mg,3,AcEuMg2
0.0,Ac-Eu-Zn,3,AcEuZn2
7.4101,Ac-F,2,AcF3
6.162600000000001,Ac-F,2,AcF3
0.9887999999999996,Ac-Fe-O,3,AcFeO3
0.0,Ac-Ga,2,AcGa3
2.895900000000001,Ac-Ga-O,3,AcGaO3
0.4909999999999996,Ac-Ga-Te,3,AcGaTe2
0.0,Ac-Ge,2,AcGe3
0.0,Ac-H,2,AcH2
0.6406999999999998,Ac-H,2,AcH3
0.0,Ac-Hg,2,AcHg3
0.0,Ac-Au-Hg,3,AcHgAu2
0.0,Ac-Hg-Rh,3,AcHgRh2
0.0,Ac-Hg-Te,3,AcHgTe2
2.5886,Ac-I,2,AcI3
0.0,Ac-In,2,AcIn3
0.0,Ac-Ag-In,3,AcInAg2
0.0,Ac-Au-In,3,AcInAu2
0.0,Ac-Hg-In,3,AcInHg2
0.3799000000000001,Ac-In-Te,3,AcInTe2
0.0,Ac-La,2,AcLa
0.0,Ac-La,2,AcLa3
0.0,Ac-La,2,AcLa3
0.0,Ac-Cd-La,3,AcLaCd2
0.0,Ac-La-Mg,3,AcLaMg2
0.0,Ac-Mg,2,AcMg
0.0,Ac-Mg,2,AcMg3
0.0,Ac-Mg,2,AcMg3
0.0,Ac-Mg,2,AcMg5
0.0,Ac-Cd-Mg,3,AcMgCd2
0.0,Ac-Hg-Mg,3,AcMgHg2
0.0,Ac-Mg-O,3,AcMgO3
0.0,Ac-Mg-Tl,3,AcMgTl2
0.0,Ac-Mg-Zn,3,AcMgZn2
0.0,Ac-Mn-O,3,AcMnO3
0.0517000000000003,Ac-N,2,AcN
0.0,Ac-Nb,2,AcNb3
0.0,Ac-Nd,2,AcNd3
0.0,Ac-Nd,2,AcNd3
0.0,Ac-Mg-Nd,3,AcNdMg2
0.0,Ac-Ni-O,3,AcNiO3
0.0,Ac-O,2,AcO
4.256600000000001,Ac-F-O,3,AcOF
0.0,Ac-Au-Pb,3,AcPbAu2
0.0,Ac-O-Pd,3,AcPdO3
0.0,Ac-Pm,2,AcPm3
0.0,Ac-Pm,2,AcPm3
0.0,Ac-Pr,2,AcPr3
0.0,Ac-Pr,2,AcPr3
0.0,Ac-Mg-Pr,3,AcPrMg2
0.0,Ac-Pb-Rh,3,AcRh2Pb
0.0,Ac-Au-Sb,3,AcSbAu2
0.0,Ac-Sc,2,AcSc3
3.3847000000000005,Ac-O-Sc,3,AcScO3
0.0,Ac-Se,2,AcSe3
0.0,Ac-Se,2,AcSe3
0.0,Ac-Si,2,AcSi3
0.0,Ac-O-Si,3,AcSiO3
0.0,Ac-Sm,2,AcSm3
0.0,Ac-Sm,2,AcSm3
0.0,Ac-Au-Sn,3,AcSnAu2
0.0,Ac-Hg-Sn,3,AcSnHg2
0.0,Ac-Pd-Sn,3,AcSnPd2
0.0,Ac-Tb,2,AcTb3
0.0,Ac-Te,2,AcTe3
0.0,Ac-Th,2,AcTh
0.0,Ac-Th,2,AcTh3
0.0,Ac-O-Ti,3,AcTiO3
0.0,Ac-Ag-Tl,3,AcTlAg2
0.0,Ac-Au-Tl,3,AcTlAu2
