material_id,band_gap,chemsys
mp-10172,0.0,Na
mp-1079952,0.0,Na
mp-1186040,0.0,Na
mp-1186055,0.0,Na
mp-1186081,0.0,Na
mp-1221597,0.2698,Na
mp-127,0.0,Na
mp-567772,0.0,Na
mp-689577,0.0,Na
mp-973198,0.0,Na
mp-974558,0.0,Na
mp-974920,0.0,Na
mp-982370,0.0,Na
mp-999501,0.0,Na
mp-1014013,0.8832,P
mp-1094075,1.3058999999999998,P
mp-1120743,2.7833,P
mp-1179990,3.0938,P
mp-118,3.6113,P
mp-1198724,1.9259,P
mp-12883,3.5354,P
mp-130,0.0,P
mp-157,0.0103999999999997,P
mp-53,0.0,P
mp-568348,1.8454,P
mp-674158,2.0034,P
mp-723897,2.1942,P
mp-7245,0.0,P
mp-1063988,0.0,S
mp-1064933,0.0,S
mp-1065250,0.6825999999999999,S
mp-10869,0.0,S
mp-1094073,0.0,S
mp-1179639,0.0,S
mp-1179641,0.0,S
mp-1179643,0.0,S
mp-1196831,2.3162000000000003,S
mp-555760,2.2718,S
mp-555915,2.5404,S
mp-556269,2.3782,S
mp-557031,2.0442,S
mp-557376,2.1627,S
mp-557488,2.4187,S
mp-557559,2.4963,S
mp-557869,2.5243,S
mp-558014,2.4779,S
mp-558964,2.5396,S
mp-561370,2.362,S
mp-561513,2.4271,S
mp-583072,2.4349,S
mp-608100,0.3093999999999999,S
mp-655141,0.8323,S
mp-666931,2.6034,S
mp-684673,0.0,S
mp-7,2.2079,S
mp-77,2.7125,S
mp-83,2.5657,S
mp-96,2.6623,S
mp-994911,3.3265,S
mp-1598,0.4033,Na-P
mp-473,1.8326,Na-P
mp-7440,0.8684000000000003,Na-P
mp-1194653,1.4966000000000004,Na-P
mp-31086,1.3958000000000004,Na-P
mp-1195785,1.7429,Na-P
mp-556978,2.1176000000000004,Na-S
mp-648,2.4399,Na-S
mp-8374,1.681,Na-S
mp-28127,1.7772,Na-S
mp-1058159,0.0,Na-S
mp-1058171,0.0,Na-S
mp-1180106,0.3533999999999997,Na-S
mp-2400,1.2348,Na-S
mp-409,0.8685,Na-S
mp-12180,2.0185,Na-S
mp-1220021,0.0,P-S
mp-1147708,2.4934000000000003,P-S
mp-1147714,2.4551000000000003,P-S
mp-1189177,2.2929,P-S
mp-29014,2.3245,P-S
mp-541788,2.554,P-S
mp-1006118,1.8903,P-S
mp-1199938,2.1425,P-S
mp-1468,2.8693,P-S
mp-1469,2.8816,P-S
mp-690,2.4891,P-S
mp-7260,2.5427,P-S
mp-2650,2.7617,P-S
mp-542630,2.649,P-S
mp-579224,2.7121000000000004,P-S
mp-612,2.4974,P-S
mp-1101885,2.6345,Na-P-S
mp-28782,2.2919,Na-P-S
mp-985584,2.2883000000000004,Na-P-S
mp-1189520,1.988,Na-P-S
