functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,Insulator,PBE band gap,μ,μĀ,μ𝐵 ̅,stable,t
AgBaAuCdO6,Ag,3,Ba,2,0.585,-3.82,114.05,616.95,0.648499999999999,-1.3775,0.52,1.41,0.5135,2.8885,55.875,69.825,Au,5,Cd,0.0504999999999999,0.0504999999999999,-5.7095,11.1999999999999,878.9,0.2085,-0.9725,0.425,2.115,0.2225,2.4375,145.4,77.4,0,0.0,0.54286,0.13571,0.13571,1,0.92317
AgBaAuHgO6,Ag,3,Ba,2,0.585,-3.82,114.05,616.95,0.648499999999999,-1.3775,0.52,1.41,0.5135,2.8885,55.875,69.825,Au,5,Hg,0.5275,0.5275,-6.2875,58.4499999999999,948.55,0.139,-0.903,0.27,2.27,0.125,2.535,135.4,87.4,0,0.0,0.56786,0.13571,0.16071,1,0.90845
AgBaMoCdO6,Ag,3,Ba,2,0.585,-3.82,114.05,616.95,0.648499999999999,-1.3775,0.52,1.41,0.5135,2.8885,55.875,69.825,Mo,5,Cd,0.712499999999999,0.712499999999999,-4.9465,91.4,776.3,1.44899999999999,-2.63,0.235,1.925,0.2525,2.4675,70.0,2.0,0,0.0,0.55714,0.13571,0.12143,1,0.9147
AgBiO3,Ag,1,Ag,1,0.0,-4.405,0.0,731.0,0.0,-0.729,0.0,1.93,0.0,2.375,0.0,125.7,Bi,5,Bi,0.0,0.0,-4.57,0.0,703.3,0.0,-0.688,0.0,2.02,0.0,1.997,0.0,91.3,0,0.0,0.54286,0.0,0.0,0,0.94608
AgBrO3,Ag,1,Ag,1,0.0,-4.405,0.0,731.0,0.0,-0.729,0.0,1.93,0.0,2.375,0.0,125.7,Br,5,Br,0.0,0.0,-7.858,0.0,1139.9,0.0,-0.503,0.0,2.96,0.0,1.2,0.0,324.7,0,0.1524,0.44286,0.0,0.0,0,1.01165
AgCaRePtO6,Ag,3,Ca,2,0.3185,-4.0865,70.6,660.4,0.609499999999999,-1.3385,0.464999999999999,1.46499999999999,0.3125,2.6875,61.665,64.035,Re,5,Pt,0.0535000000000001,0.0535000000000001,-5.3305,54.05,814.349999999999,2.3315,-3.0235,0.189999999999999,2.09,0.01,2.69,99.7365,105.5635,0,0.0,0.49286,0.03929,0.07857,1,0.90841
AgCdAuTaO6,Ag,2,Cd,2,0.626999999999999,-5.032,68.35,799.35,0.226,-0.955,0.12,1.81,0.08,2.295,96.85,28.85,Au,5,Ta,1.05399999999999,1.05399999999999,-4.70599999999999,64.4,825.7,1.391,-2.155,0.52,2.02,0.0649999999999999,2.725,95.9,126.9,0,0.0,0.46071,0.02857,0.05357,1,0.95088
AgCdAuTiO6,Ag,2,Cd,2,0.626999999999999,-5.032,68.35,799.35,0.226,-0.955,0.12,1.81,0.08,2.295,96.85,28.85,Au,5,Ti,0.695999999999999,0.695999999999999,-5.064,116.05,774.05,1.7315,-2.4955,0.5,2.04,0.04,2.62,107.6,115.2,0,0.0,0.44286,0.02857,0.03571,1,0.96265
AgCdReAuO6,Ag,2,Cd,2,0.626999999999999,-5.032,68.35,799.35,0.226,-0.955,0.12,1.81,0.08,2.295,96.85,28.85,Re,5,Au,0.187999999999999,0.187999999999999,-5.572,64.9,825.2,2.2955,-3.0595,0.32,2.21999999999999,0.01,2.67,108.4865,114.3135,0,0.0214999999999996,0.51071,0.02857,0.09643,1,0.91941
AgCsReAuO6,Ag,3,Cs,1,1.148,-3.257,177.65,553.35,0.0035,-0.7255,0.57,1.35999999999999,0.967499999999999,3.3425,40.1,85.6,Re,5,Au,0.187999999999999,0.187999999999999,-5.572,64.9,825.2,2.2955,-3.0595,0.32,2.21999999999999,0.01,2.67,108.4865,114.3135,0,0.000500000000000167,0.51071,0.23214,0.09643,1,0.98794
